Upoštevane tekme
Šujica pri Dobrovi<br>14.3.2026
Muta<br>11.4.2026
Vrhnika<br>19.4.2026
Kozarišče<br>3.5.2026
Turjak<br>27.6.2026<br>
Mokrice<br>23.8.2026<br>
