Tekmovanje,Klub,Udeležba
Šujica – 3D pokal,074 - DL Eisnern,3
Šujica – 3D pokal,001 - LK Muta,6
Šujica – 3D pokal,005 - LK Kamnik,2
Šujica – 3D pokal,007 - LK Ankaran,5
Šujica – 3D pokal,077 - LK Ljubljana,2
Šujica – 3D pokal,051 - LK Turjak,8
Šujica – 3D pokal,076 - LK Hmeljček,2
Šujica – 3D pokal,052 - DLLL Snežniška Diana,2
Šujica – 3D pokal,053 - ŠD VLR Vilijem,10
Šujica – 3D pokal,002 - LK Maribor,1
Šujica – 3D pokal,058 - LD Logatec,1
Šujica – 3D pokal,067 - LK Budanje,3
Šujica – 3D pokal,049 - DL Dravograd,1
Šujica – 3D pokal,063 - LK DLL Potens,5
Šujica – 3D pokal,006 - LK MINS Postojna,19
Šujica – 3D pokal,046 - LK Dolenjske Toplice,3
Šujica – 3D pokal,065 - DL Lucky Art,2
Šujica – 3D pokal,011 - LK Šenčur,4
Šujica – 3D pokal,062 - LD Legende Kolpe,11
Šujica – 3D pokal,028 - GLK Tržič,7
Šujica – 3D pokal,075 - Društvo Šentlok,5
Šujica – 3D pokal,078 - LD Palček Bled,6
Šujica – 3D pokal,071 - LD ISHI,12
Šujica – 3D pokal,068 - LK Lendava,5
Šujica – 3D pokal,069 - LK Taborska jama,4
Šujica – 3D pokal,079 - ŠD Čelešnk,3
3D krog Muta - 11.04.2026 - 2026013,074 - DL Eisnern,3
3D krog Muta - 11.04.2026 - 2026013,046 - LK Dolenjske Toplice,6
3D krog Muta - 11.04.2026 - 2026013,011 - LK Šenčur,6
3D krog Muta - 11.04.2026 - 2026013,077 - LK Ljubljana,1
3D krog Muta - 11.04.2026 - 2026013,076 - LK Hmeljček,2
3D krog Muta - 11.04.2026 - 2026013,001 - LK Muta,15
3D krog Muta - 11.04.2026 - 2026013,068 - LK Lendava,7
3D krog Muta - 11.04.2026 - 2026013,052 - DLLL Snežniška Diana,2
3D krog Muta - 11.04.2026 - 2026013,051 - LK Turjak,5
3D krog Muta - 11.04.2026 - 2026013,053 - ŠD VLR Vilijem,8
3D krog Muta - 11.04.2026 - 2026013,002 - LK Maribor,2
3D krog Muta - 11.04.2026 - 2026013,075 - Društvo Šentlok,12
3D krog Muta - 11.04.2026 - 2026013,067 - LK Budanje,1
3D krog Muta - 11.04.2026 - 2026013,007 - LK Ankaran,2
3D krog Muta - 11.04.2026 - 2026013,058 - LD Logatec,1
3D krog Muta - 11.04.2026 - 2026013,049 - DL Dravograd,7
3D krog Muta - 11.04.2026 - 2026013,006 - LK MINS Postojna,5
3D krog Muta - 11.04.2026 - 2026013,065 - DL Lucky Art,2
3D krog Muta - 11.04.2026 - 2026013,005 - LK Kamnik,1
3D krog Muta - 11.04.2026 - 2026013,028 - GLK Tržič,7
3D krog Muta - 11.04.2026 - 2026013,063 - LK DLL Potens,4
3D krog Muta - 11.04.2026 - 2026013,078 - LD Palček Bled,3
3D krog Muta - 11.04.2026 - 2026013,071 - LD ISHI,3
3D krog Muta - 11.04.2026 - 2026013,081 - ŠLK Perun,1
3D krog Muta - 11.04.2026 - 2026013,079 - ŠD Čelešnk,3
3D pokal 2026 Vrhnika,053 - ŠD VLR Vilijem,18
3D pokal 2026 Vrhnika,046 - LK Dolenjske Toplice,8
3D pokal 2026 Vrhnika,001 - LK Muta,5
3D pokal 2026 Vrhnika,011 - LK Šenčur,4
3D pokal 2026 Vrhnika,051 - LK Turjak,8
3D pokal 2026 Vrhnika,077 - LK Ljubljana,2
3D pokal 2026 Vrhnika,022 - LK Ilirska Bistrica,1
3D pokal 2026 Vrhnika,074 - DL Eisnern,5
3D pokal 2026 Vrhnika,073 - TKD Sovica,5
3D pokal 2026 Vrhnika,052 - DLLL Snežniška Diana,4
3D pokal 2026 Vrhnika,002 - LK Maribor,1
3D pokal 2026 Vrhnika,063 - LK DLL Potens,8
3D pokal 2026 Vrhnika,067 - LK Budanje,6
3D pokal 2026 Vrhnika,058 - LD Logatec,2
3D pokal 2026 Vrhnika,076 - LK Hmeljček,1
3D pokal 2026 Vrhnika,006 - LK MINS Postojna,23
3D pokal 2026 Vrhnika,062 - LD Legende Kolpe,10
3D pokal 2026 Vrhnika,065 - DL Lucky Art,2
3D pokal 2026 Vrhnika,005 - LK Kamnik,1
3D pokal 2026 Vrhnika,028 - GLK Tržič,7
3D pokal 2026 Vrhnika,081 - ŠLK Perun,2
3D pokal 2026 Vrhnika,075 - Društvo Šentlok,6
3D pokal 2026 Vrhnika,078 - LD Palček Bled,4
3D pokal 2026 Vrhnika,071 - LD ISHI,9
3D pokal 2026 Vrhnika,069 - LK Taborska jama,2
3D pokal 2026 Vrhnika,068 - LK Lendava,2
3D pokal 2026 Vrhnika,079 - ŠD Čelešnk,2
3D pokal 2026 Vrhnika,049 - DL Dravograd,1
3D pokal 2026 Vrhnika,008 - LK Gornji Grad,1
3D POKAL KOZARIŠČE,046 - LK Dolenjske Toplice,8
3D POKAL KOZARIŠČE,053 - ŠD VLR Vilijem,15
3D POKAL KOZARIŠČE,074 - DL Eisnern,2
3D POKAL KOZARIŠČE,005 - LK Kamnik,1
3D POKAL KOZARIŠČE,001 - LK Muta,5
3D POKAL KOZARIŠČE,051 - LK Turjak,8
3D POKAL KOZARIŠČE,006 - LK MINS Postojna,27
3D POKAL KOZARIŠČE,011 - LK Šenčur,5
3D POKAL KOZARIŠČE,077 - LK Ljubljana,2
3D POKAL KOZARIŠČE,022 - LK Ilirska bistrica,1
3D POKAL KOZARIŠČE,052 - DLLL Snežniška Diana,13
3D POKAL KOZARIŠČE,076 - LK Hmeljček,4
3D POKAL KOZARIŠČE,073 - TKD Sovica,9
3D POKAL KOZARIŠČE,075 - Društvo Šentlok,10
3D POKAL KOZARIŠČE,067 - LK Budanje,3
3D POKAL KOZARIŠČE,002 - LK Maribor,3
3D POKAL KOZARIŠČE,058 - LD Logatec,2
3D POKAL KOZARIŠČE,063 - LK DLL Potens,6
3D POKAL KOZARIŠČE,007 - LK Ankaran,5
3D POKAL KOZARIŠČE,062 - LD Legende Kolpe,2
3D POKAL KOZARIŠČE,028 - GLK Tržič,6
3D POKAL KOZARIŠČE,081 - ŠLK Perun,2
3D POKAL KOZARIŠČE,078 - LD Palček Bled,8
3D POKAL KOZARIŠČE,071 - LD ISHI,7
3D POKAL KOZARIŠČE,069 - LK Taborska jama,3
3D POKAL KOZARIŠČE,068 - LK Lendava,2
3D POKAL KOZARIŠČE,079 - ŠD Čelešnk,2
AH pokal 2026,067 - LK Budanje,7
AH pokal 2026,066 - LK Paradoks,7
AH pokal 2026,006 - LK MINS Postojna,13
AH pokal 2026,052 - DLLL Snežniška Diana,2
AH pokal 2026,075 - Društvo Šentlok,5
AH pokal 2026,028 - GLK Tržič,9
AH pokal 2026,011 - LK Šenčur,11
AH pokal 2026,053 - ŠD VLR Vilijem,3
AH pokal 2026,046 - LK Dolenjske Toplice,2
AH pokal 2026,001 - LK Muta,3
AH pokal 2026,068 - LK Lendava,3
AH pokal 2026,073 - TKD Sovica,3
AH pokal 2026,002 - LK Maribor,3
AH pokal 2026,005 - LK Kamnik,1
AH pokal 2026,076 - LK Hmeljček,1
AH pokal 2026,063 - LK DLL Potens,3
AH pokal 2026,074 - DL Eisnern,2
AH pokal 2026,079 - ŠD Čelešnk,3
AH pokal 2026,051 - LK Turjak,1
